,Historical Event,Date,Summary
20,The Battle of Hastings,1066,"William the Conqueror defeated Harold II, leading to the Norman conquest of England."
21,The Signing of the Magna Carta,1215,"King John of England was forced to sign the Magna Carta, limiting royal power and laying the foundation for constitutional law."
22,The Black Death,1347-1351,"A deadly pandemic killed an estimated 25 million people in Europe, drastically reshaping societies."
23,The Printing Press Invented,1440,Johannes Gutenberg's invention revolutionized the spread of knowledge and literacy.
24,Christopher Columbus Reaches the Americas,1492,Columbus' voyages opened the way for European colonization of the Americas.
5,The Renaissance,14th-17th Century,"A cultural rebirth that emphasized art, science, and philosophy, with figures like Leonardo da Vinci and Michelangelo."
25,The Protestant Reformation,1517,Martin Luther's 95 Theses sparked a religious movement that changed Christianity and European politics.
2,The American Revolution,1776,"The United States declared independence from Britain on July 4, 1776."
26,The American Declaration of Independence,1776,"The United States declared independence from Britain, leading to the Revolutionary War."
27,The French Revolution,1789,A revolution in France overthrew the monarchy and led to the rise of democracy and Napoleon.
28,The American Civil War,1861-1865,"A war between the Union and the Confederacy over slavery and states' rights, leading to the abolition of slavery in the U.S."
3,The Industrial Revolution,18th-19th Century,A period of major industrialization that transformed economies with advancements in manufacturing and transportation.
29,The Assassination of Archduke Franz Ferdinand,1914,The assassination of the heir to the Austro-Hungarian throne triggered World War I.
30,The Russian Revolution,1917,"The Bolsheviks, led by Lenin, overthrew the Russian monarchy, leading to the formation of the Soviet Union."
31,The Great Depression,1929,"The U.S. stock market crashed, leading to a worldwide economic crisis."
32,The Holocaust,1941-1945,The Nazi regime carried out the mass genocide of six million Jews and millions of others during World War II.
0,The End of World War II,1945,"World War II ended with the surrender of Germany in May and Japan in September, following the atomic bombings of Hiroshima and Nagasaki."
33,The Cold War,1947-1991,"A geopolitical struggle between the U.S. and the Soviet Union, marked by nuclear arms races and ideological conflict."
1,The Moon Landing,1969,"NASA's Apollo 11 mission successfully landed the first humans on the Moon, with Neil Armstrong and Buzz Aldrin stepping onto the surface."
34,The Fall of the Berlin Wall,1989,The collapse of the Berlin Wall symbolized the end of the Cold War and the reunification of Germany.
35,The September 11 Attacks,2001,Terrorist attacks on the U.S. led to the War on Terror and major global security changes.
